Name;Identity;Birth place;Publisher;Height;Weight;Gender;First appearance;Eye color;Hair color;Strength;Intelligence
Phantom Girl;Tinya Wazzo;;DC Comics;168.58;54.99;F;2004.0;Blue;Black;10.0;moderate
Peter Petrelli;Peter Petrelli;;NBC - Heroes;;;M;N/A;;;30.0;good
Phantom;Christopher Walker;;DC Comics;;;M;N/A;;;50.0;good
Phoenix;Jean Grey;;Marvel Comics;168.89;52.07;F;1963.0;Green;Red;100.0;high
Penguin;Oswald Chesterfield Cobblepot;;DC Comics;157.89;79.13;M;1941.0;Blue;Black;10.0;good
Penance II;Robert Baldwin;Springdale, Connecticut ;Marvel Comics;183.72;89.9;M;2007.0;Blue;Blond;20.0;average
Plastic Lad;Luke O'Brian;;DC Comics;;;M;N/A;;;N/A;N/A
Paul Blart;Paul Blart;;Sony Pictures;170.43;117.6;M;N/A;;;15.0;low
Ozymandias;Adrian Veidt;;DC Comics;;;M;N/A;Blue;Blond;20.0;high
Overtkill;Nicholas Rocca;;Image Comics;;;M;N/A;;;N/A;N/A
Osiris;Amon Tomaz;;DC Comics;;;M;N/A;Brown;Brown;85.0;good
Oracle;Barbara Gordon;;DC Comics;178.12;59.33;F;1989.0;Blue;Red;15.0;good
Onslaught;Onslaught;;Marvel Comics;305.41;405.08;M;1996.0;Red;No Hair;100.0;high
One Punch Man;Saitama;;Shueisha;175.64;69.95;M;N/A;;No Hair;100.0;moderate
Omega Red;Arkady Gregorivich;;Marvel Comics;211.79;191.4;M;N/A;Red;Blond;N/A;N/A
Omniscient;Omniscient is the closest English word that compares to his alien tongue.;Another Unknown World;Team Epic TV;180.22;65.3;M;N/A;Brown;Black;N/A;N/A
Odin;Odin Borson;Asgard;Marvel Comics;206.15;293.35;M;N/A;Blue;White;85.0;high
Nova;Richard Rider;Queens, NY;Marvel Comics;185.25;86.37;M;1976.0;Brown;Brown;85.0;high
Nova;Frankie Raye;;Marvel Comics;163.93;59.72;F;1975.0;White;Red;60.0;good
Offspring;Luke O'Brian;;DC Comics;;;M;N/A;;;10.0;average
Nite Owl II;Daniel Dreiberg;;DC Comics;;;M;N/A;;;N/A;N/A
Northstar;Jean-Paul Beaubier;Montreal, Qu�bec, Canada ;Marvel Comics;180.66;83.02;M;1979.0;Blue;Black;20.0;average
Niki Sanders;Nicole Sanders;;NBC - Heroes;;;F;N/A;Blue;Blond;55.0;good
Nick Fury;Nicholas Joseph Fury;New York City;Marvel Comics;185.88;99.28;M;1963.0;Brown;Brown / White;15.0;good
Nightwing;Dick Grayson;Gotham City;DC Comics;178.31;79.07;M;N/A;Blue;Black;15.0;high
Nightcrawler;Kurt Wagner;Somewhere in the Bavarian Alps;Marvel Comics;175.3;88.14;M;N/A;Yellow;Indigo;10.0;average
Negasonic Teenage Warhead;Ellie Phimister;;Marvel Comics;;;F;N/A;Black;Black;10.0;average
Nathan Petrelli;Nathan Petrelli;;NBC - Heroes;;;M;N/A;Brown;;N/A;N/A
Namorita;Namorita Prentiss;Atlantis Outskirts;Marvel Comics;168.79;101.41;F;1972.0;Blue;Blond;75.0;average
Namor;Namor McKenzie;Atlantis;Marvel Comics;188.39;125.24;M;1939.0;Grey;Black;95.0;good
Mystique;Raven Darkholme;;Marvel Comics;178.65;54.96;F;N/A;Yellow (without irises);Red / Orange;15.0;good
Namora;Aquaria Nautica Neptunia;Unnamed Atlantean outpost;Marvel Comics;180.85;85.53;F;1947.0;Blue;Blond;85.0;average
Mysterio;Quentin Beck;New York, New York ;Marvel Comics;180.47;79.93;M;1964.0;Brown;No Hair;10.0;high
Multiple Man;James Arthur;Los Alamos, New Mexico;Marvel Comics;180.92;70.18;M;N/A;Blue;Brown;15.0;good
Ms Marvel II;Sharon Ventura;Pullman, Washington;Marvel Comics;173.45;61.61;F;N/A;Blue;Red;65.0;moderate
Mr Incredible;Robert Parr;;Dark Horse Comics;201.81;158.2;M;2004.0;Blue;Blond;85.0;average
Mr Immortal;Craig Hollis;;Marvel Comics;188.81;70.09;M;N/A;Blue;Blond;10.0;average
Morph;Kevin Sydney;Pittsburgh, Pennsylvania ;Marvel Comics;178.31;79.88;M;N/A;White;No Hair;N/A;N/A
Moonstone;Karla Sofen;Van Nuys, California;Marvel Comics;180.72;59.78;F;1975.0;Blue;Blond;70.0;average
Moses Magnum;Moses Magnum;;Marvel Comics;175.06;72.87;M;1975.0;Brown;Black;30.0;good
Morlun;Morlun;;Marvel Comics;188.26;79.52;M;2001.0;White / Red;Black;60.0;good
Moon Knight;Marc Spector ;Chicago, Illinois;Marvel Comics;188.71;101.35;M;1975.0;Brown;Brown;40.0;average
Monica Dawson;Monica Dawson;;NBC - Heroes;;;F;N/A;;;10.0;average
Molten Man;Mark Raxton;;Marvel Comics;196.96;248.27;M;1965.0;Gold;Gold;75.0;average
Monarch;Nathaniel Christopher Adam;;DC Comics;193.57;90.72;M;1987.0;Blue;White;100.0;high
Mogo;Mogo;;DC Comics;;;M;1985.0;;;N/A;N/A
MODOK;George Tarleton;;Marvel Comics;366.2;338.21;M;N/A;White;Brownn;20.0;high
Mohinder Suresh;Mohinder Suresh;India;NBC - Heroes;;;M;N/A;;;N/A;N/A
Mockingbird;Barbara Morse;San Diego, California;Marvel Comics;175.58;61.33;F;1971.0;Blue;Blond;35.0;good
Moloch;Edgar William Jacobi;;DC Comics;;;M;N/A;;;N/A;N/A
Mister Zsasz;Victor Zsasz;;DC Comics;;;M;N/A;Blue;Blond;25.0;high
Mister Sinister;Nathaniel Essex;London, England ;Marvel Comics;196.89;128.37;M;1987.0;Red;Black;50.0;high
Mister Mxyzptlk;Mr. Mxyzptlk;;DC Comics;;;M;N/A;;;85.0;high
Mister Freeze;Victor Fries;;DC Comics;183.59;86.47;M;1959.0;;;35.0;good
Mister Fantastic;Reed Richards;Central City, California ;Marvel Comics;185.01;81.68;M;N/A;Brown;Brown;10.0;high
Mister Knife;J'son;Spartax, Spartoi Empire, near the Shi'ar Galaxy;Marvel Comics;;;M;2000.0;Blue;Brown;10.0;good
Misfit;Charlotte Gage-Radcliffe;;DC Comics;;;F;N/A;Blue;Red;35.0;good
Mimic;Calvin Montgomery Rankin;Passiac, New Jersey ;Marvel Comics;188.79;101.48;M;N/A;Brown;Brown;70.0;good
Miss Martian;M'gann M'orzz;Mars;DC Comics;178.49;61.25;F;2006.0;Red;Red;85.0;good
Minna Murray;Wilhelmina Harker;;Wildstorm;;;F;N/A;;;N/A;N/A
Micro Lad;Gim Allon;;DC Comics;183.12;77.22;M;2004.0;Grey;Brown;30.0;moderate
Micah Sanders;Micah Sanders;;NBC - Heroes;;;M;N/A;Brown;Black;10.0;good
Metron;Metron;;DC Comics;185.57;86.05;M;1971.0;Blue;Black;10.0;high
Metamorpho;Rex Mason;;DC Comics;185.94;90.48;M;N/A;Black;No Hair;85.0;good
Metallo;John Corben;;DC Comics;196.93;90.94;M;1987.0;Green;Brown;55.0;good
Mera;Mera;;DC Comics;175.36;72.75;F;1963.0;Blue;Red;65.0;average
Meltdown;Tabitha Smith ;Roanoke, Virginia ;Marvel Comics;165.31;54.5;F;N/A;Blue;Blond;10.0;moderate
Maya Herrera;Maya Herrera;Dominican Republic;NBC - Heroes;;;F;N/A;;;10.0;average
Maverick;Christopher Bradley ;;Marvel Comics;193.06;110.36;M;1995.0;Blue;Black;10.0;good
Medusa;Medusalith Amaquelin Boltagon;Island of Attilan, Atlantic Ocean ;Marvel Comics;180.5;59.39;F;1965.0;Green;Red;35.0;good
Match;Kent Connor;;DC Comics;;;M;1997.0;Black;Black;95.0;good
Matt Parkman;Matthew Parkman;;NBC - Heroes;;;M;N/A;;;10.0;good
Master Chief;John-117;Elysium City, Eridanus II;Microsoft;213.92;;M;N/A;Brown;Brown;75.0;good
Master Brood;Currently Colin Wood;Perhaps England;Team Epic TV;183.08;81.2;M;N/A;Blue;Black;N/A;N/A
Marvel Girl;Rachel Anne Summers;;Marvel Comics;170.21;56.06;F;N/A;Green;Red;85.0;good
Martian Manhunter;J'onn J'onzz;;DC Comics;201.86;135.18;M;1955.0;Red;No Hair;95.0;high
Man-Bat;Robert Kirkland Langstrom;Chicago, Illinois;DC Comics;;;M;1970.0;Brown;Brown;20.0;moderate
Mandarin;Khan;China;Marvel Comics;188.1;97.65;M;1964.0;Blue;White;30.0;high
Magog;David Reid;;DC Comics;;;M;N/A;Blue;Blond;50.0;average
Machine Man;X-51, Aaron Stack;Central City, California;Marvel Comics;183.42;383.81;;N/A;Red;Black;35.0;good
Man-Thing;Dr. Theodore Sallis ;;Marvel Comics;213.38;225.6;M;1971.0;Red;No Hair;35.0;average
Lyja;Lyja;;Marvel Comics;;;F;N/A;Green;Green;N/A;N/A
Mach-IV;Abner Jenkins;Baltimore, Maryland ;Marvel Comics;180.36;79.2;M;2005.0;Brown;Brown;40.0;good
Luna;Luna Maximoff;Attilan, Blue Area of the Moon;Marvel Comics;;;F;N/A;;;10.0;moderate
Man-Wolf;John Jameson;New York, New York;Marvel Comics;188.66;90.4;M;N/A;Brown;Auburn;45.0;good
Magneto;Erik Magnus Lensherr;Unrevealed, probably somewhere in Northern Europe;Marvel Comics;188.8;86.4;M;N/A;Grey;White;80.0;high
Luke Skywalker;Luke Skywalker;Tatooine;George Lucas;168.13;77.0;M;1977.0;Blue;Blond;40.0;good
Luke Campbell;Luke Campbell;;NBC - Heroes;;;M;N/A;;;N/A;N/A
Loki;Loki Laufeyson;Jotunheim, Asgard ;Marvel Comics;193.83;236.11;M;N/A;Green;Black;65.0;high
Lobo;Lobo;;DC Comics;229.4;288.82;M;N/A;Red;Black;100.0;high
Luke Cage;Luke Cage;Harlem, New York City;Marvel Comics;198.43;191.98;M;1972.0;Brown;Black;65.0;average
Lightning Lad;Garth Ranzz;;DC Comics;155.07;65.89;M;N/A;Blue;Red;10.0;moderate
Light Lass;Ayla Ranzz;;DC Comics;165.34;54.36;F;N/A;Blue;Red;10.0;moderate
Lex Luthor;Lex Luthor;;DC Comics;188.73;95.22;M;N/A;Green;No Hair;55.0;high
Lightning Lord;Mekt Ranzz;;DC Comics;191.41;95.89;M;2007.0;Blue;Red;10.0;average
Legion;David Haller;Israel;Marvel Comics;175.86;59.83;M;1985.0;Green / Blue;Black;100.0;average
Leader;Samuel Sterns;Boise, Idaho ;Marvel Comics;178.74;63.34;M;N/A;Green;No Hair;10.0;high
Leonardo;Leonardo;;IDW Publishing;;;M;N/A;Blue;No Hair;20.0;good
Kyle Rayner;Kyle Rayner;North Hollywood, Los Angeles, California;DC Comics;180.32;79.62;M;N/A;Green;Black;90.0;good
Krypto;Krypto the Superdog;;DC Comics;64.21;18.11;M;1955.0;Blue;White;80.0;low
Kraven the Hunter;Sergei Kravinoff;Volgograd (formerly Stalingrad), Russia ;Marvel Comics;183.95;106.67;M;1964.0;Brown;Black;35.0;good
Kraven II;Alyosha Kravinoff;;Marvel Comics;191.26;99.03;M;1997.0;Brown;Black;35.0;average
Klaw;Ulysses Klaw;Vlaardingen, Netherlands;Marvel Comics;188.61;97.99;M;1966.0;Red;No Hair;40.0;good
Kingpin;Wilson Grant Fisk;New York City area;Marvel Comics;201.92;203.47;M;1967.0;Blue;No Hair;20.0;good
King Shark;Nanaue;;DC Comics;;;M;N/A;Black;No Hair;90.0;average
Lizard;Curtis Connors;Coral Gables, Florida;Marvel Comics;203.53;230.6;M;N/A;Red;No Hair;55.0;average
Liz Sherman;Elizabeth Anne Sherman;;Dark Horse Comics;;;F;N/A;;;N/A;N/A
King Kong;King Kong;Skull Island;N/A;30.87;9.79;M;1933.0;Yellow;Black;100.0;average
Kylo Ren;Ben Solo;;George Lucas;;;M;2015.0;;;45.0;average
Killer Croc;Waylon Jones;;DC Comics;244.58;356.55;M;1983.0;Red;No Hair;55.0;low
Killer Frost;Caitlin Snow;;DC Comics;;;F;N/A;Blue;Blond;10.0;high
Kid Flash;Wallace Rudolph West;Blue Valley, Nebraska;DC Comics;;;M;1960.0;Green;Red;5.0;moderate
Kid Flash II;Bartholomew Allen II;;DC Comics;;;M;N/A;;;N/A;N/A
Kick-Ass;Dave Lizewski;New York City;Icon Comics;;;M;N/A;Blue;Blond;10.0;moderate
Kevin 11;Kevin Ethan Levin;;DC Comics;;;M;N/A;;Black;10.0;moderate
Katniss Everdeen;Katniss Everdeen;;N/A;;;F;N/A;;;10.0;average
Kathryn Janeway;Kathryn Janeway;Bloomington, Indiana, Earth;Star Trek;;;F;N/A;;;10.0;good
Kang;Nathaniel Richards;Other Earth, 31st century ;Marvel Comics;191.3;104.95;M;1964.0;Brown;Brown;50.0;high
Karate Kid;Val Armorr;Orando;DC Comics;173.14;72.23;M;N/A;Brown;Brown;65.0;good
Justice;Vance Astrovik;;Marvel Comics;178.91;81.1;M;1975.0;Hazel;Brown;10.0;average
Juggernaut;Cain Marko;Berkeley, California;Marvel Comics;287.95;855.82;M;1965.0;Blue;Red;100.0;average
Judge Dredd;Joseph Dredd;Mega City One;Rebellion;188.09;;M;1977.0;;;20.0;good
Jubilee;Jubilation Lee;Beverly Hills, California;Marvel Comics;165.92;52.34;F;1989.0;Red;Black;10.0;average
Joker;Jack Napier;;DC Comics;196.07;86.91;M;1940.0;Green;Green;10.0;high
Jolt;Helen Takahama;Ojai, California ;Marvel Comics;165.49;49.38;F;1997.0;Blue;Black;15.0;good
John Stewart;John Stewart;;DC Comics;185.83;91.0;M;N/A;Green;Black;85.0;average
Johann Krauss;Johann Krauss;;Dark Horse Comics;;;M;2003.0;;;N/A;N/A
John Constantine;John Constantine;;DC Comics;183.28;;M;1985.0;Blue;Blond;10.0;good
JJ Powell;JJ Powell ;;ABC Studios;;;M;2010.0;;;10.0;high
Jim Powell;Jim Powell;;ABC Studios;;;M;2010.0;;;40.0;moderate
Jyn Erso;Jyn Erso;;George Lucas;;;F;2016.0;Green;Brown;N/A;N/A
Jessica Jones;Jessica Campbell Jones Cage;Forrest Hills, New York City;Marvel Comics;170.19;56.96;F;1963.0;Brown;Brown;45.0;average
Jigsaw;Billy Russo;;Marvel Comics;188.82;113.14;M;1976.0;Blue;Black;N/A;N/A
Jesse Quick;Jesse Chambers;;DC Comics;;;F;N/A;;;N/A;N/A
Jean-Luc Picard;Jean-Luc Picard;La Barre, France, Earth;Star Trek;;;M;1987.0;;;10.0;good
Jessica Cruz;Jessica Cruz;;DC Comics;;;F;2013.0;Green;Brown;90.0;average
Jean Grey;Jean Grey;;Marvel Comics;168.53;52.68;F;1963.0;Green;Red;80.0;high
Jason Bourne;Jason Bourne;;N/A;;;M;N/A;;;15.0;high
Jennifer Kale;Jennifer Kale;Citrusville, Florida ;Marvel Comics;168.46;55.46;F;1972.0;Blue;Blond;10.0;good
James T. Kirk;James T. Kirk;Riverside, Iowa, Earth;Star Trek;178.86;77.66;M;N/A;Hazel;Brown;15.0;good
Jack Bauer;Kiefer Sutherland;Enola, Pennsylvania;N/A;;;M;N/A;;;N/A;N/A
Jack-Jack;Jack-Jack Parr;;Dark Horse Comics;71.73;14.67;M;2004.0;Blue;Brown;35.0;low
Jack of Hearts;Jonathan Hart;New Haven, Connecticut;Marvel Comics;155.18;79.28;M;1976.0;Blue / White;Brown;55.0;good
Isis;Adrianna Tomaz;;DC Comics;;;F;N/A;;;50.0;good
James Bond;James Bond;;Titan Books;183.69;;M;N/A;blue;Blond;15.0;high
Iron Man;Tony Stark;Long Island, New York;Marvel Comics;198.91;191.88;M;1963.0;Blue;Black;85.0;high
Iron Fist;Danny Rand;;Marvel Comics;180.56;79.56;M;1974.0;Blue;Blond;55.0;good
Ink;Eric Gitter;;Marvel Comics;180.62;81.86;M;2008.0;Blue;No Hair;30.0;moderate
Invisible Woman;Susan Storm Richards;Glenville, Long Island, New York ;Marvel Comics;168.33;54.92;F;N/A;blue;Blond;10.0;high
Jar Jar Binks;Jar Jar Binks;Naboo;George Lucas;193.84;;M;N/A;Yellow;;10.0;low
Impulse;Bartholomew Allen II;;DC Comics;170.3;65.83;M;1994.0;Yellow;Auburn;10.0;average
Indiana Jones;Indiana Jones;Princeton, New Jersey;George Lucas;183.78;79.76;M;1981.0;;;10.0;good
Iceman;Bobby Drake;Fort Washington, Long Island, New York ;Marvel Comics;173.93;65.58;M;N/A;Brown;Brown;35.0;good
Hyperion;Mark Milton;;Marvel Comics;183.82;207.29;M;N/A;Blue;Red;100.0;high
Iron Monger;Obadiah Stane;;Marvel Comics;;2.34;M;N/A;Blue;No Hair;65.0;high
Hybrid;Scott Washington;Bedford-Stuyvesant, Brooklyn, New York City;Marvel Comics;175.76;77.85;M;N/A;Brown;Black;65.0;good
Husk;Paige Elisabeth Guthrie;Cumberland, Kentucky;Marvel Comics;170.84;58.07;F;1984.0;Blue;Blond;65.0;good
Huntress;Helena Rosa Bertinelli;;DC Comics;180.44;59.36;F;1989.0;Blue;Black;10.0;good
Human Torch;Johnny Storm;Glenville, Long Island, New York;Marvel Comics;178.71;77.83;M;1961.0;Blue;Blond;15.0;good
John Wraith;John Wraith;;Marvel Comics;183.1;88.5;M;1992.0;Brown;Black;15.0;good
Hydro-Man;Morris Bench;Bronx, New York;Marvel Comics;188.67;119.09;M;1981.0;Brown;Brown;15.0;moderate
Indigo;Iroque;;DC Comics;;;F;2008.0;;Purple;65.0;good
Howard the Duck;Howard (Last name unrevealed);New Stork, New Stork, Duckworld;Marvel Comics;79.35;18.45;M;N/A;Brown;Yellow;N/A;N/A
Hollow;Monet St. Croix;;Marvel Comics;170.68;;F;1994.0;Blue;Red;N/A;N/A
Hope Summers;Hope Summers;;Marvel Comics;168.17;48.58;F;2008.0;Green;Red;10.0;good
Hiro Nakamura;Hiro Nakamura;Tokyo, Japan;NBC - Heroes;;;M;N/A;;;15.0;good
Hulk;Bruce Banner;Dayton, Ohio;Marvel Comics;244.4;630.9;M;1962.0;Green;Green;100.0;high
Hellcat;Patricia Walker;Centerville, CA USA;Marvel Comics;173.48;61.48;F;1976.0;Blue;Red;15.0;good
Hellboy;Anung Un Rama;;Dark Horse Comics;259.7;158.57;M;1993.0;Gold;Black;55.0;good
Heat Wave;Mick Rory;;DC Comics;180.8;81.57;M;1963.0;Blue;No Hair;10.0;moderate
Hawkwoman II;Sharon Parker;;DC Comics;;;F;N/A;;;N/A;N/A
Hawkwoman;Shayera Hol;;DC Comics;175.12;54.34;F;1961.0;Green;Red;N/A;N/A
Hawkwoman III;Shayera Thal;;DC Comics;170.89;65.97;F;N/A;Blue;Red;N/A;N/A
Hawkman;Carter Hall;;DC Comics;185.32;88.54;M;1940.0;Blue;Brown;65.0;good
Hercules;Heracles;Thebes, Greece;Marvel Comics;196.14;146.76;M;N/A;Blue;Brown;100.0;good
Hellstorm;Daimon Hellstrom;Greentown, Massachusetts;Marvel Comics;185.02;81.45;M;N/A;Red;Red;60.0;good
Hawkeye II;Katherine Elizabeth Bishop;New York City, New York;Marvel Comics;165.42;57.64;F;2005.0;Blue;Black;10.0;average
Hit-Girl;Mindy McCready;;Icon Comics;;;F;N/A;;;10.0;average
Havok;Alexander Summers;Honolulu, Hawaii;Marvel Comics;183.74;79.52;M;N/A;Blue;Blond;10.0;good
Harry Potter;Harry James Potter;;J. K. Rowling;;;M;N/A;Green;Black;10.0;good
Hobgoblin;Roderick Kingsley;;Marvel Comics;180.17;83.49;M;N/A;Blue;Grey;60.0;good
Harley Quinn;Harley Quinn;;DC Comics;170.32;63.23;F;1999.0;Blue;Blond;15.0;high
Hancock;John Hancock;;Sony Pictures;188.9;;M;N/A;Brown;Black;90.0;good
Hawk;Henry Hall;;DC Comics;185.91;89.4;M;1968.0;Red;Brown;40.0;moderate
Han Solo;Han Solo;Corellia;George Lucas;183.1;79.33;M;1977.0;Brown;Brown;10.0;average
Hawkeye;Clint Barton;Waverly, Iowa;Marvel Comics;191.01;104.93;M;1964.0;Blue;Blond;15.0;average
Guardian;James Hudson;London, Ontario, Canada;Marvel Comics;;;M;N/A;Brown;Black;N/A;N/A
Guy Gardner;Guy Gardner;Baltimore, Maryland ;DC Comics;188.06;95.32;M;N/A;Blue;Red;90.0;moderate
Hawkgirl;Kendra Saunders;;DC Comics;175.09;61.93;F;1999.0;Green;Red;30.0;average
Green Goblin IV;Phillip Benjamin Urich;;Marvel Comics;178.95;79.86;M;1995.0;Green;Brown;N/A;N/A
Hal Jordan;Hal Jordan;Coast City, California;DC Comics;188.69;90.57;M;N/A;Brown;Brown;90.0;good
Groot;Groot;;Marvel Comics;701.12;4.82;M;1960.0;Yellow;;85.0;good
Green Goblin III;Barton Hamilton;;Marvel Comics;183.66;88.47;M;N/A;;;N/A;N/A
Goliath IV;William Barrett Foster;Watts, Los Angeles, California ;Marvel Comics;183.18;90.2;M;2006.0;Brown;Black;N/A;N/A
Gorilla Grodd;Grodd;;DC Comics;198.45;270.64;M;1959.0;Yellow;Black;55.0;high
Gravity;Greg Willis;Sheboygan, Wisconsin;Marvel Comics;178.26;79.73;M;2005.0;Blue;Brown;35.0;average
Greedo;Greedo;Rodia;George Lucas;170.61;;M;N/A;Purple;;10.0;moderate
Goliath;Hank Pym;;Marvel Comics;;;M;N/A;;;N/A;N/A
Goliath;Erik Josten;;Marvel Comics;;;M;N/A;;;N/A;N/A
Goliath;Clint Barton;;Marvel Comics;;;M;N/A;;;N/A;N/A
Green Goblin;Norman Osborn;Hartford, Connecticut;Marvel Comics;180.83;83.4;M;1964.0;Blue;Auburn;50.0;high
Goblin Queen;Madelyne Jennifer Pryor;Created in Sinister's Labs, Nebraska ;Marvel Comics;168.55;50.38;F;N/A;Green;Red;10.0;good
Green Goblin II;Harold Osborn;New York City;Marvel Comics;178.98;77.02;M;N/A;Blue;Auburn;55.0;good
Gladiator;Kallark;;Marvel Comics;198.37;268.53;M;N/A;Blue;Blue;100.0;average
Giganta;Doris Zuel;;DC Comics;62.65;630.8;F;1944.0;Green;Red;90.0;high
Ghost Rider II;Daniel Ketch;;Marvel Comics;;;;N/A;;;70.0;average
Giant-Man;Hank Pym;;Marvel Comics;;;M;N/A;;;N/A;N/A
Genesis;Tyler Dayspring;;Marvel Comics;185.66;86.17;M;1994.0;Blue;Blond;70.0;good
Goku;Kakarot;;Shueisha;175.49;62.02;M;N/A;;;100.0;average
Green Arrow;Oliver Queen;;DC Comics;188.03;88.99;M;1941.0;Green;Blond;15.0;high
Garbage Man;Richard Ethan Morse;;DC Comics;;;M;2011.0;;;85.0;good
General Zod;Dru-Zod;Krypton;DC Comics;;;M;N/A;Black;Black;100.0;high
Gary Bell;Gary Bell;;SyFy;;;M;N/A;;;5.0;good
Gambit;Remy Etienne LeBeau;New Orleans, Louisiana;Marvel Comics;185.55;81.57;M;2006.0;Red;Brown;10.0;good
Ghost Rider;Johnny Blaze;Waukegan, Illinois;Marvel Comics;188.51;99.2;M;1972.0;Red;No Hair;55.0;average
Godzilla;Gojira;;N/A;108.55;90.93;;1954.0;;;100.0;average
Gamora;Gamora Zen Whoberi Ben Titan;Planet Zen Whoberi, Silican System, Milky Way;Marvel Comics;183.65;77.77;F;1975.0;Yellow;Black;85.0;good
