Name;Identity;Birth place;Publisher;Height;Weight;Gender;First appearance;Eye color;Hair color;Strength;Intelligence
Galactus;Galan;"(Galan) Taa; (Galactus) the Cosmic Egg ";Marvel Comics;876.84;16.2;M;1966.0;Black;Black;100.0;high
Frenzy;Joanna Cargill;;Marvel Comics;211.4;104.42;F;N/A;Brown;Black;55.0;good
Frigga;Frigga;Place of birth unknown;Marvel Comics;180.7;167.21;F;N/A;Blue;White;N/A;N/A
Franklin Storm;Dr. Franklin Storm;Place of birth unknown;Marvel Comics;188.91;92.11;;N/A;Blue;Grey;10.0;moderate
Franklin Richards;Franklin  Richards;New York, New York;Marvel Comics;142.42;45.3;M;N/A;Blue;Blond;80.0;good
Flash IV;Bartholomew Allen II;;DC Comics;157.27;52.49;M;2003.0;Yellow;Auburn;10.0;good
Flash II;Barry Allen;Fallville, Iowa;DC Comics;183.41;88.32;M;1956.0;Blue;Blond;50.0;high
Flash Gordon;Steven Gordon;;N/A;;;M;1966.0;;;70.0;high
Flash III;Wally West;Blue Valley, Nebraska;DC Comics;183.88;86.49;M;1960.0;;;10.0;good
Firestorm;Ronald Raymond;;DC Comics;188.81;91.51;M;1978.0;Blue;Auburn;80.0;moderate
Fixer;Paul Norbert Ebersol;Dayton, Ohio;Marvel Comics;;;;N/A;Red;No Hair;N/A;N/A
Firestar;Angelica Jones;Place of birth unknown;Marvel Comics;173.63;56.41;F;1985.0;Green;Red;10.0;average
Firebird;Bonita Juarez;Buena Vista, New Mexico;Marvel Comics;165.81;56.8;F;N/A;Brown;Black;10.0;moderate
Fighting Spirit;Carol Carter;;DC Comics;;;F;N/A;;Red;N/A;N/A
Feral;Maria Callasantos;Place of birth unknown;Marvel Comics;175.71;50.73;;N/A;Yellow (without irises);Orange / White;30.0;moderate
Flash;Jay Garrick;Hibbardsville, Kansas;DC Comics;180.86;81.07;M;1940.0;Blue;Brown / White;10.0;good
Firelord;Pyreus Kril;Xander, planet in Tranta System, Andromeda Galaxy;Marvel Comics;193.14;99.18;;N/A;White;Yellow;65.0;moderate
Faora;Faora Hu-Ul;;DC Comics;;;F;1977.0;;;95.0;high
Falcon;Sam Wilson;New York, New York;Marvel Comics;188.18;108.33;M;1969.0;Brown;Black;15.0;moderate
Fabian Cortez;Fabian Cortez;Place of birth unknown;Marvel Comics;196.69;96.02;;N/A;Blue;Brown;N/A;N/A
Firestorm;Jason Rusch;;DC Comics;;;M;N/A;Brown;Black;55.0;average
Exodus;Bennet du Paris ;;Marvel Comics;183.66;88.8;M;1993.0;Blue;Black;85.0;good
Evil Deadpool;Wade Wilson;;Marvel Comics;188.62;95.91;M;2011.0;White;Red;35.0;good
Ethan Hunt;Ethan Hunt;Madison, Wisconsin, United States of America;N/A;168.7;;M;N/A;Brown;Brown;15.0;good
Evilhawk;Dargin Bokk ;;Marvel Comics;191.25;106.78;M;1992.0;Red;Black;35.0;average
Enchantress;June Moone;;DC Comics;168.99;57.72;F;N/A;Blue;Blond;15.0;good
Etrigan;Jason Blood;Hell;DC Comics;193.76;203.5;M;1972.0;Red;No Hair;85.0;average
Emma Frost;Emma Frost;Boston, Massachusetts;Marvel Comics;178.97;65.55;F;N/A;Blue;Blond;65.0;good
Elektra;Elektra Natchios;;Marvel Comics;175.21;59.91;F;N/A;Blue;Black;15.0;good
Elongated Man;Ralph Dibny;;DC Comics;185.43;80.32;M;1960.0;Blue;Red;10.0;good
Elastigirl;Helen Parr;;Dark Horse Comics;168.31;56.49;F;2004.0;Brown;Brown;35.0;good
Ego;Ego;The Black Galaxy;Marvel Comics;;;;N/A;;;80.0;high
Dr Manhattan;Jonathan Osterman;;DC Comics;;;M;1986.0;White;No Hair;100.0;high
Drax the Destroyer;Arthur Sampson Douglas;Burbank, California;Marvel Comics;193.01;306.42;M;1973.0;Red;No Hair;80.0;average
Dormammu;Dormammu;Faltine Dimension;Marvel Comics;185.69;;M;1964.0;Yellow;No Hair;95.0;high
Doomsday;Doomsday;Krypton;DC Comics;244.01;412.67;M;1992.0;Red;White;100.0;good
Electro;Maxwell Dillon;;Marvel Comics;180.17;74.32;M;1964.0;Blue;Auburn;10.0;good
Domino;Neena Thurman;Project: Armageddon base, Everglades, Florida ;Marvel Comics;173.82;54.41;F;1992.0;Blue;Black;10.0;good
Doctor Doom II;Kristoff Vernard;Doomstadt, Latveria ;Marvel Comics;201.45;132.11;M;N/A;Brown;Brown;65.0;high
Doctor Doom;Victor von Doom;Haasenstadt, Latveria;Marvel Comics;201.52;187.41;M;1962.0;Brown;Brown;35.0;high
Doctor Fate;Kent Nelson;;DC Comics;188.81;89.45;M;1940.0;Blue;Blond;20.0;high
DL Hawkins;Daniel Lawrence Hawkins;;NBC - Heroes;;;M;N/A;;;15.0;average
Diamondback;Willis Stryker;;Marvel Comics;193.35;90.71;M;1972.0;Brown;Black;20.0;average
Donna Troy;Donna Hinckley Stacey Troy;;DC Comics;175.45;63.12;F;1965.0;Blue;Black;95.0;high
Doc Samson;Leonard Samson;Tulsa, Oklahoma;Marvel Comics;198.63;171.86;M;1971.0;Blue;Green;80.0;good
Deathstroke;Slade Joseph Wilson;;DC Comics;193.87;101.98;M;1980.0;Blue;White;30.0;good
Doctor Strange;Stephen Strange;Philadelphia, Pennsylvania ;Marvel Comics;188.98;81.14;M;1963.0;Grey;Black;10.0;high
Deadpool;Wade Wilson;Canada ;Marvel Comics;188.0;95.32;M;1991.0;Brown;No Hair;35.0;good
Deadshot;Floyd Lawton;;DC Comics;185.55;91.15;M;1950.0;Brown;Brown;10.0;average
Doctor Octopus;Otto Octavius;Schenectady, New York;Marvel Comics;175.81;110.19;M;1963.0;Brown;Brown;50.0;high
Deadman;Boston Brand;;DC Comics;183.31;90.27;M;1967.0;Blue;Black;10.0;average
Data;Data;;Star Trek;;;M;N/A;Yellow;Brown;35.0;high
Dazzler;Alison Blaire;Gardendale, Long Island, New York ;Marvel Comics;173.32;52.67;F;1980.0;Blue;Blond;10.0;good
Darth Vader;Anakin Skywalker;Tatooine;George Lucas;198.29;135.2;M;1977.0;Yellow;No Hair;50.0;good
Darkstar;Laynia Petrovna;Minks, USSR;Marvel Comics;168.97;56.27;F;1976.0;Brown;Blond;10.0;moderate
Darkman;Peyton Westlake;;Universal Studios;;;M;1990.0;;;15.0;good
Darkseid;Uxas;;DC Comics;267.37;817.57;M;1970.0;Red;No Hair;100.0;high
Darkhawk;Christopher Powell;Queens, New York;Marvel Comics;185.18;81.44;M;1991.0;Brown;Brown;35.0;average
Dash;Dashiell Robert Parr;;Dark Horse Comics;122.83;27.31;M;2004.0;Blue;Blond;15.0;moderate
Dagger;Tandy Bowen;Shaker Heights, Ohio;Marvel Comics;165.69;52.89;F;N/A;Blue;Blond;10.0;good
Deathlok;Luther Manning;;Marvel Comics;193.95;178.92;M;1974.0;Brown;Grey;35.0;good
Cyclops;Scott Summers;Anchorage, Alaska;Marvel Comics;191.07;88.1;M;1963.0;Brown;Brown;10.0;good
Cypher;Douglas Aaron Ramsey;Place of birth unknown;Marvel Comics;175.54;68.41;;N/A;Blue;Blond;N/A;N/A
Cyborg Superman;Henry Henshaw;;DC Comics;;;M;1990.0;Blue;Black;95.0;good
Daphne Powell;Daphne Powell;;ABC Studios;;;F;2010.0;;;10.0;moderate
Daredevil;Matt Murdock;New York City, New York;Marvel Comics;183.68;90.45;M;1964.0;Blue;Red;15.0;good
Crimson Dynamo;Anton Vanko;;Marvel Comics;180.77;104.54;M;1963.0;Brown;No Hair;65.0;good
Cyborg;Victor Stone;New York City, New York;DC Comics;198.12;173.81;M;1980.0;Brown;Black;55.0;good
Corsair;Christopher Summers;;Marvel Comics;191.55;79.59;M;N/A;Brown;Brown;N/A;N/A
Cottonmouth;Burchell Clemens;;Marvel Comics;183.34;99.17;M;1985.0;Brown;Black;10.0;average
Copycat;Vanessa Carlysle;;Marvel Comics;183.47;67.55;F;1991.0;Red;White;10.0;average
Curse;Phillip Krahn;;Image Comics;;;M;N/A;;;N/A;N/A
Colossus;Piotr Nikolaievitch Rasputin;Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia ;Marvel Comics;226.13;225.52;M;1975.0;Silver;Black;85.0;good
Cogliostro;Cain;;Image Comics;;;M;N/A;;;65.0;good
Crimson Crusader;Rory Destine;Ravenscroft, England ;Marvel Comics;;;M;1994.0;Blue;Strawberry Blond;60.0;average
Clock King;William Tockman;;DC Comics;178.06;78.02;M;1960.0;Blue;Black;10.0;good
Cloak;Tyrone Johnson;South Boston, Massachusetts;Marvel Comics;226.41;70.43;M;N/A;brown;black;10.0;good
Clea;Clea;The Dark Dimension;Marvel Comics;;;;N/A;;White;N/A;N/A
Citizen Steel;Nathan Heywood;;DC Comics;183.21;170.62;M;2007.0;Green;Red;95.0;average
Chromos;Bernard Embers;London, England;Team Epic TV;185.45;86.3;M;N/A;Brown;Red / Grey;N/A;N/A
Cheetah III;Barbara Minerva;;DC Comics;175.91;54.75;F;1987.0;Brown;Brown;100.0;high
Crystal;Crystallia Amaquelin;Attilan ;Marvel Comics;168.93;50.38;F;1965.0;Green;Red;20.0;good
Cheetah;Priscilla Rich;;DC Comics;163.3;50.1;F;1943.0;Green;Blond;10.0;moderate
Cheetah II;Deborah Domaine;;DC Comics;170.55;55.24;F;1980.0;Green;Brown;20.0;moderate
Chuck Norris;Carlos Ray Norris;Ryan, Oklahoma, United States;N/A;178.53;;M;N/A;;;80.0;average
Claire Bennet;Claire Bennet;;NBC - Heroes;;;F;N/A;Blue;Blond;10.0;moderate
Changeling;Kevin Sidney;;Marvel Comics;180.78;81.55;M;1967.0;Brown;Black;10.0;good
Cecilia Reyes;Dr. Cecilia Reyes;Place of birth unknown;Marvel Comics;170.63;62.27;;1997.0;Brown;Brown;N/A;N/A
Catwoman;Selina Kyle;Gotham City;DC Comics;175.1;61.49;F;N/A;Green;Black;15.0;good
Cat;Shirlee Bryant;Chicago, Illinois;Marvel Comics;173.65;61.58;F;N/A;Blue;Blond;90.0;high
Carnage;Cletus Kasady;;Marvel Comics;185.76;86.12;M;1991.0;Green;Red;65.0;good
Captain Marvel II;Frederick Christopher Freeman;;DC Comics;175.95;74.45;M;1995.0;Blue;Black;85.0;good
Chamber;Jonothon Evan Starsmore;United Kingdom;Marvel Comics;175.98;63.82;M;1994.0;Brown;Brown;10.0;average
Captain Marvel;Carol Danvers;Boston, Massachusetts;Marvel Comics;180.92;74.23;F;N/A;Blue;Blond;90.0;high
Captain Mar-vell;Mar-Vell;The city of Rad-Nam on the planet Kree-Lar in the Kree Galaxy (Greater Magellanic Cloud);Marvel Comics;188.05;108.86;M;N/A;Blue;Blond;N/A;N/A
Captain Cold;Leonard Snart;;DC Comics;;;M;2012.0;Brown;Brown;10.0;average
Cerebra;Shakti Haddad;;Marvel Comics;;;F;1993.0;;;60.0;good
Captain Britain;Brian Braddock;Braddock Manor, England;Marvel Comics;198.92;116.08;M;1976.0;Blue;Blond;80.0;good
Captain Atom;Nathaniel Adam;;DC Comics;193.68;90.33;M;N/A;Blue;Silver;95.0;high
Chameleon;Dmitri Anatoly Smerdyakov Kravinoff;Russia;DC Comics;;;M;N/A;;;10.0;high
Cannonball;Samuel Zachery Guthrie;Cumberland County, Kentucky ;Marvel Comics;183.7;81.7;M;1982.0;Blue;Blond;30.0;average
Cable;Nathan Summers;Unrevealed location in the 20th Century United States;Marvel Comics;203.08;158.59;M;N/A;Blue;White;50.0;high
Captain Hindsight;Jack Brolin;;South Park;;;M;N/A;;Black;10.0;moderate
Callisto;Callisto;;Marvel Comics;175.81;74.4;F;N/A;Blue;Black;55.0;good
Bumblebee;Karen Beecher;;DC Comics;170.48;59.46;F;N/A;Brown;Black;30.0;good
Bullseye;Lester;;Marvel Comics;183.08;90.67;M;1976.0;blue;blond;15.0;average
Captain America;Steve Rogers;Manhattan, New York City, New York;Marvel Comics;188.01;108.94;M;1941.0;blue;blond;20.0;good
Brainiac 5;Querl Dox;;DC Comics;170.91;61.94;M;N/A;Green;Blond;10.0;high
Brundlefly;Seth Brundle;;N/A;193.22;;M;1986.0;;;35.0;good
Brainiac;Vril Dox;;DC Comics;198.57;135.65;M;1958.0;Green;No Hair;95.0;high
Buffy;Buffy Anne Summers;;Dark Horse Comics;157.62;52.19;F;N/A;Green;Blond;30.0;good
Box IV;Madison Jeffries;Place of birth unknown;Marvel Comics;;;;N/A;Brown;Brown / Black;75.0;average
Bushido;Ryuko Orsono;;DC Comics;;;M;N/A;;;10.0;moderate
Boom-Boom;Tabitha Smith;;Marvel Comics;165.39;55.37;F;N/A;Blue;Blond;10.0;moderate
Box;Roger Bochs;;Marvel Comics;;;M;N/A;;;N/A;N/A
Brother Voodoo;Jericho Drumm;Port-au-Prince, Haiti;Marvel Comics;183.73;99.79;M;1973.0;Brown;Brown / White;65.0;high
Blue Beetle III;Jaime Reyes;Presumed to be El Paso;DC Comics;;;M;2006.0;Brown;Black;35.0;average
Box III;Dr. Walter Langowski;British Columbia;Marvel Comics;193.28;110.99;;N/A;Blue;Blond;N/A;N/A
Blue Beetle;Daniel Garrett;;DC Comics;;;M;N/A;Blue;Brown;N/A;N/A
Bloodwraith;Sean Dolan;;Marvel Comics;30.95;;M;1993.0;White;No Hair;75.0;average
Bloodaxe;Jackie Lukus;;Marvel Comics;218.07;495.33;F;N/A;Blue;Brown;80.0;good
Blob;Frederick J. Dukes;Lubbock, Texas ;Marvel Comics;178.58;230.51;M;1964.0;Brown;Brown;85.0;low
Blizzard II;Donald Gill;Newark, Delaware;Marvel Comics;175.15;77.94;M;1987.0;Brown;Brown;10.0;moderate
Blizzard;Gregor Shapanka;;Marvel Comics;;;M;N/A;;Brown;N/A;N/A
Blue Beetle II;Theodore Kord;Chicago, Illinois;DC Comics;183.85;86.89;M;1966.0;Blue;Brown;50.0;high
Blink;Clarice Ferguson;Bahamas;Marvel Comics;165.41;56.67;F;1994.0;Green;Magenta;10.0;average
Booster Gold;Michael Jon Carter;Gotham City, 25th Century;DC Comics;196.01;97.97;M;N/A;Blue;Blond;85.0;good
Bling!;Roxanne Washington ;;Marvel Comics;168.31;68.36;F;2005.0;;;15.0;good
Blackwulf;Lucian;Armechadon;Marvel Comics;188.17;88.64;M;1994.0;Red;White;30.0;average
Black Widow II;Yelena Belova;;Marvel Comics;170.25;61.85;F;N/A;Blue;Blond;N/A;N/A
Blade;Eric Brooks;Soho, London,England;Marvel Comics;188.45;97.4;M;1973.0;Brown;Black;30.0;good
Bloodhawk;Lemuel Krug;;Marvel Comics;;;M;2099.0;Black;No Hair;10.0;average
Blackwing;Joseph Manfredi;Professional Criminal;Marvel Comics;185.56;86.01;M;1975.0;Blue;Black;10.0;moderate
Black Mamba;Tanya Sealy;Chicago, Illinois;Marvel Comics;170.17;52.62;F;N/A;Green;Black;10.0;good
Black Lightning;Jefferson Pierce;;DC Comics;185.35;90.59;M;1977.0;Brown;No Hair;15.0;average
Black Widow;Natasha Romanoff;;Marvel Comics;170.79;59.34;F;N/A;Green;Auburn;15.0;good
Black Cat;Felicia Hardy;Queens, New York;Marvel Comics;178.87;54.64;F;1979.0;Green;Blond;20.0;good
Black Canary;Laurel Lance;;DC Comics;170.2;59.96;F;N/A;Blue;Blond;10.0;good
Black Bolt;Blackagar Boltagon;Attilan, Atlantic Ocean ;Marvel Comics;188.98;95.8;M;1965.0;Blue;Black;70.0;good
Black Adam;Teth-Adam;Kahndaq, Egypt;DC Comics;191.41;113.34;M;1945.0;Brown;Black;100.0;high
Black Canary;Dinah Drake Lance;;DC Comics;165.36;58.65;F;1947.0;Blue;Blond;10.0;good
Bizarro;Bizarro;;DC Comics;191.0;155.57;M;1958.0;Black;Black;95.0;moderate
Bishop;Lucas Bishop;A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth;Marvel Comics;198.68;124.27;M;1991.0;Brown;No Hair;15.0;good
Birdman;Ray Randal;;Hanna-Barbera;;;M;1967.0;;;55.0;high
Bird-Man;Henry Hawk;;Marvel Comics;;;M;1965.0;;;N/A;N/A
Bird-Man II;Achille DiBacco;The Bar with No Name, Medina County, Ohio ;Marvel Comics;;;M;1979.0;;;N/A;N/A
Black Manta;David;;DC Comics;188.12;92.78;M;1967.0;Black;No Hair;30.0;good
Binary;Carol Danvers;Boston, Massachusetts;Marvel Comics;180.34;54.36;F;N/A;Blue;Blond;N/A;N/A
Billy Kincaid;Billy Kincaid;;Image Comics;;;M;1992.0;;;N/A;N/A
Black Knight III;Dane Whitman;Gloucester, Massachusetts ;Marvel Comics;183.5;86.99;M;1967.0;Brown;Brown;10.0;good
Big Daddy;Damon Macready;;Icon Comics;;;M;N/A;;;10.0;moderate
Big Man;Frederick Foswell;;Marvel Comics;165.33;71.0;M;1964.0;Blue;Brown;15.0;good
Big Barda;Barda Free;;DC Comics;188.53;135.38;F;N/A;Blue;Black;100.0;high
Bionic Woman;Jamie Sommers;;N/A;;;F;N/A;Blue;Black;40.0;average
Ben 10;Benjamin Kirby Tennyson;;DC Comics;;;M;N/A;;;10.0;low
Beta Ray Bill;Beta Ray Bill (translation of his Korbinite name);Burning Galaxy;Marvel Comics;201.3;216.73;M;N/A;;No Hair;80.0;good
Beast;Henry Philip McCoy;Dunfee, Illinois;Marvel Comics;180.85;181.73;M;N/A;Blue;Blue;50.0;high
Beast Boy;Garfield Mark Logan;;DC Comics;173.62;68.99;M;1965.0;Green;Green;30.0;average
Batwoman V;Katherine Rebecca Kane;;DC Comics;178.14;;F;2006.0;Green;Red;10.0;high
Batman II;Dick Grayson;;DC Comics;178.07;79.25;M;N/A;Blue;Black;15.0;high
Batman;Terry McGinnis;Gotham City, 25th Century;DC Comics;178.04;77.88;M;N/A;Blue;Black;40.0;high
Battlestar;Lemar Hoskins ;Chicago, Illinois ;Marvel Comics;198.54;133.04;M;1986.0;Brown;Black;55.0;average
Batgirl V;Charlotte Gage-Radcliffe;;DC Comics;;;F;N/A;;;N/A;N/A
Batgirl III;Helena Rosa Bertinelli;;DC Comics;;;F;N/A;;;N/A;N/A
Batman;Bruce Wayne;"Crest Hill, Bristol Township; Gotham County";DC Comics;188.97;95.22;M;N/A;blue;black;20.0;high
Batgirl VI;Stephanie Brown;;DC Comics;168.29;61.82;F;2009.0;Blue;Blond;10.0;good
Batgirl;Barbara Gordon;;DC Comics;170.12;57.1;F;N/A;Green;Red;15.0;high
Batgirl;Mary Elizabeth Kane;;DC Comics;;;F;N/A;;;30.0;average
Bantam;Roberto Velasquez;;Marvel Comics;165.8;54.6;M;2006.0;Brown;Black;55.0;moderate
Banshee;Sean Cassidy;Cassidy Keep, Ireland;Marvel Comics;183.74;77.27;M;1967.0;Green;Strawberry Blond;10.0;average
Black Panther;T'Challa;Wakanda, Africa;Marvel Comics;183.03;90.5;M;1966.0;Brown;Black;20.0;high
Azrael;Michael Washington Lane;Gotham City ;DC Comics;;;M;2008.0;Brown;Black;20.0;good
Aztar;Aztar;;DC Comics;;;M;1940.0;;;100.0;high
Beak;Barnell Bohusk ;Cheverly, Maryland ;Marvel Comics;175.3;63.09;M;N/A;Black;White;N/A;N/A
Aurora;Jeanne-Marie Beaubier;Montreal, Quebec, Canada ;Marvel Comics;180.81;63.48;F;1979.0;Blue;Black;10.0;good
Atom II;Ray Palmer;;DC Comics;183.43;81.35;M;N/A;Brown;Auburn;10.0;high
Atom IV;Ryan Choi;;DC Comics;;72.07;M;N/A;Brown;Black;N/A;N/A
Batgirl IV;Cassandra Cain;League of Assassins (exact base is unknown);DC Comics;165.32;52.56;F;N/A;Green;Black;15.0;good
Atom Girl;Salu Digby;;DC Comics;168.68;54.07;F;2004.0;Black;Black;10.0;moderate
Atom;Albert Pratt;;DC Comics;178.73;68.89;M;N/A;Blue;Red;N/A;N/A
Arsenal;Roy William Harper, Jr.;;DC Comics;;;M;N/A;;;N/A;N/A
Atlas;Erik Josten;Milwaukee, Wisconsin;Marvel Comics;183.09;101.66;M;N/A;Brown;Red;80.0;good
Armor;Hisako Ichiki;;Marvel Comics;163.33;50.39;F;2004.0;Black;Black;65.0;average
Ardina;Ardina;;Marvel Comics;193.98;98.68;F;N/A;White;Orange;100.0;good
Arclight;Philippa Sontag;Vietnam;Marvel Comics;173.43;57.25;F;1986.0;Violet;Purple;65.0;moderate
Archangel;Warren Kenneth Worthington III ;Centerport, Long Island, New York ;Marvel Comics;183.82;68.63;M;1963.0;Blue;Blond;15.0;good
Astro Boy;Atom;;N/A;;;M;N/A;Brown;Black;95.0;average
Atom III;Adam Cray;;DC Comics;;;M;N/A;;Red;N/A;N/A
Aqualad;Garth;Poseidonis, Atlantis;DC Comics;178.89;106.83;M;1960.0;Blue;Black;45.0;good
Ariel;Ariel;;Marvel Comics;165.35;59.17;F;1987.0;Purple;Pink;10.0;average
Aquababy;Arthur Curry, Jr.;;DC Comics;;;M;1965.0;Blue;Blond;20.0;low
Aquaman;Orin;Atlantis;DC Comics;185.71;146.96;M;1941.0;Blue;Blond;85.0;high
Apocalypse;En Sabah Nur;Akkaba, Egypt ;Marvel Comics;213.77;135.62;M;1986.0;Red;Black;100.0;high
Ant-Man II;Scott Lang;Coral Gables, Florida;Marvel Comics;183.67;86.28;M;1979.0;Blue;Blond;20.0;good
Anti-Venom;Eddie Brock;San Francisco, California;Marvel Comics;229.46;358.05;M;N/A;Blue;Blond;60.0;good
Anti-Spawn;Jason Wynn;;Image Comics;;;M;N/A;;;60.0;good
Annihilus;Annihilus;Planet of Arthros, Sector 17A, Negative Zone;Marvel Comics;180.94;90.11;M;1968.0;Green;No Hair;80.0;good
Angel;Warren Kenneth Worthington III;Centerport, Long Island, New York ;Marvel Comics;183.05;68.99;M;1969.0;Blue;Blond;15.0;good
Arachne;Julia Carpenter;Los Angeles, California;Marvel Comics;175.15;63.75;F;N/A;Blue;Blond;50.0;average
Angel;Liam;;Dark Horse Comics;;;M;N/A;;;30.0;good
Alien;Xenomorph;Your chest :);Dark Horse Comics;244.3;169.66;M;1979.0;;No Hair;30.0;average
Alfred Pennyworth;Alfred Thaddeus Crane Pennyworth;;DC Comics;178.26;72.98;M;1943.0;Blue;Black;10.0;good
Ando Masahashi;Ando Masahashi;;NBC - Heroes;;;M;N/A;;;N/A;N/A
Alex Woolsly;Alex Woolsly;;NBC - Heroes;;;M;N/A;;;40.0;average
Alan Scott;Alan Ladd Wellington Scott;Gotham City;DC Comics;180.98;90.81;M;1940.0;Blue;Blond;80.0;good
Ant-Man;Hank Pym;Elmsford, New York;Marvel Comics;211.74;122.44;M;1962.0;Blue;Blond;20.0;high
Ajax;Francis;;Marvel Comics;193.34;90.63;M;1998.0;Brown;Black;50.0;average
Alex Mercer;Alexander J. Mercer;;Wildstorm;;;M;N/A;;;80.0;average
